id,Error,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Total Difference,lane_kf,type_most_common,vAlpha0_ped,tauAlpha_ped,A_pp,B_pp,A_wall,B_wall,m_gamma,tau_gamma,v_gamma0,a_gamma_max,b_gamma,eta_gamma,mu_gamma,eps_m,A_w,B_w,A_s,B_s,T_i
8304,0.8671857421464165,0.00035534916632280864,0.018850707316247012,0.009808286985808694,0.01831831864813599,0.0006688551635191769,0.1531554906851305,0.999997686112288,0.8671857421464165,40,0,1.358,0.5,2533.782279432502,1.4576908009229959,2207.390366638807,1.010964958049474,200,0.5,3.073,4,4,0.3,1.2,2.053187636502538,663.9277347488346,0.07530741733496932,2792.438130549188,0.19507613921096806,0.97
8305,0.004468320810948663,0.20017764404756597,0.4474121634997935,0.02920196035509059,0.04701484421819143,0.015546113486026724,222.79771782494092,0.9990043384867844,0.004468320810948663,40,0,1.358,0.5,2463.203713501016,1.7188649147914512,847.1791126002696,0.5843962893809329,200,0.5,3.073,4,4,0.3,1.2,1.7202440085303956,2306.537376378019,0.15569729363068785,833.1638014439195,0.9691322205737422,0.97
8308,0.9878741353974162,0.0001704820281373659,0.013056876660877436,0.006430525452987674,0.012647803946233565,0.0006814083962566892,0.012274706025890345,0.9999986029884512,0.9878741353974162,1,0,1.358,0.5,2913.7226752522533,1.7192807811039463,915.9729529431979,0.25044820289846476,200,0.5,3.073,4,4,0.3,1.2,4.309243768864899,2397.321304978983,0.4388592244055144,756.1729843598398,0.6333633047504298,0.97
8311,0.8418155244092651,0.00043598310332377865,0.020880208411885613,0.011173235584272339,0.021752363123259476,0.0007408653148844658,0.1879087175325486,0.9999971610572332,0.8418155244092651,39,0,1.358,0.5,2789.7560902980586,1.859902296757209,2677.960798767996,1.9331930964424273,200,0.5,3.073,4,4,0.3,1.2,2.919488339694869,1037.8210680529696,0.43636121256572646,2091.6377929040873,1.3806291834051418,0.97
8312,0.9237147566299786,0.0003384642691881459,0.01839739843532628,0.009683156949429988,0.020829508657695506,0.0008563297621339175,0.0825852816819076,0.9999976054555184,0.9237147566299786,39,0,1.358,0.5,2480.51581636902,1.9015623754974111,1694.536837332616,0.5943381392048596,200,0.5,3.073,4,4,0.3,1.2,1.7988674837153873,2332.1297190168198,1.4907237358133754,1181.8133057284272,0.22924988237224486,0.97
8306,0.9705825451541186,0.0002658690400045273,0.016305491099765358,0.008655893887770837,0.018012702604939302,0.000834759921529539,0.030309070560516117,0.9999978040538567,0.9705825451541186,39,0,1.358,0.5,2954.43282423401,1.6672385373697867,1610.612488840115,1.9661577881391068,200,0.5,3.073,4,4,0.3,1.2,4.168134404130155,763.6948788310949,1.381431954370484,1049.535004182157,1.4666426228237563,0.97
8314,0.9234375830568614,0.0003734694778768644,0.01932535841522388,0.010266779194882968,0.02139675577700533,0.000893889681557467,0.0829102240886639,0.9999974968879403,0.9234375830568614,39,0,1.358,0.5,2579.9873867590068,1.422677754928024,1698.3456320492796,1.1127960428364558,200,0.5,3.073,4,4,0.3,1.2,4.259336019276261,2242.8161025089194,0.195154212303721,1996.5576687863124,0.8513266737804763,0.97
8315,0.9662252881226153,0.0003236603487030675,0.017990562767825454,0.009869893860889418,0.02084251892555698,0.0009005127994443404,0.03495531765993129,0.9999974821265305,0.9662252881226153,39,0,1.358,0.5,2589.999876870372,1.966541500140652,2394.9269172053473,0.5398321931514473,200,0.5,3.073,4,4,0.3,1.2,2.1630733748709687,1340.7216028083735,0.5179052584297394,2694.949926491138,1.1538974117235816,0.97
8307,0.6844148804774479,0.0006035367435066906,0.024566984827338715,0.013594245756352069,0.022844570949599595,0.0008669882980052007,0.4611020720391116,0.9999964373508871,0.6844148804774479,40,0,1.358,0.5,2814.185227271934,1.9850360670353844,1232.2363453791904,1.5174314690418744,200,0.5,3.073,4,4,0.3,1.2,2.2936635471101776,2541.5126995369033,0.4952815116323713,1476.5893469882908,1.4217143185415217,0.97
8310,0.7063819668180205,0.0005335875206234191,0.02309951342828284,0.012512418598765599,0.018957868775509725,0.000816975604269279,0.4156646785656435,0.9999968468625857,0.7063819668180205,40,0,1.358,0.5,2902.8267584097084,1.3551581601155989,1215.7065905225686,0.934935221900131,200,0.5,3.073,4,4,0.3,1.2,2.164698488235632,856.2868748214743,1.9117738608068289,1225.462487209301,1.1145533244951662,0.97
8309,0.68313551591738,0.0005019896094332485,0.02240512462436325,0.011981991730164057,0.016811075706440498,0.000779080905993079,0.4638383991163217,0.9999971337611495,0.68313551591738,40,0,1.358,0.5,2715.904752337871,1.3369117737853295,1252.5923165796676,1.7257934205679866,200,0.5,3.073,4,4,0.3,1.2,4.593967639682157,983.884051907748,0.5129806917077803,1478.0854811818074,0.6550581889484527,0.97
8319,0.910738085471143,0.0005632788580716366,0.0237334965412102,0.012467423431812745,0.019852208669183243,0.0008616454109127387,0.09801052130446476,0.9999968402786104,0.910738085471143,39,0,1.358,0.5,2589.5551203491264,1.9438748172815066,2216.502608670213,1.9730405351964448,200,0.5,3.073,4,4,0.3,1.2,4.0630578589061415,1772.3249664558916,0.4862245917560616,2831.778061970578,1.5880521410425894,0.97
8321,0.7520992158335632,0.0005430178096321092,0.02330274253456252,0.012736422560294591,0.01784563283524628,0.0008170959328246902,0.3296118104466903,0.999996473611925,0.7520992158335632,41,0,1.358,0.5,2640.0467880513033,1.5513724743420876,1375.9137816587954,0.7093323231666632,200,0.5,3.073,4,4,0.3,1.2,4.729468593631875,2052.3985759977704,1.674128931817253,2186.5620159256805,1.8957360005419976,0.97
8318,0.8417408520618612,0.000657391954737513,0.02563965590130868,0.014056925128793855,0.022024872505690102,0.0009533615958440632,0.18801409905492872,0.9999959304435039,0.8417408520618612,39,0,1.358,0.5,2807.8293820091635,1.8773143003639283,1070.339374849536,0.3591945327333987,200,0.5,3.073,4,4,0.3,1.2,4.164185140643767,1689.1493500068173,0.49442178877514203,1016.3436819276262,0.5120007113752196,0.97
8320,0.6706937777693255,0.0006069139750951222,0.024635624106060763,0.013472151110175704,0.01892003184773343,0.0008621598657916875,0.4909934058519539,0.9999964306476281,0.6706937777693255,39,0,1.358,0.5,2966.048830707493,1.827857779233817,1734.2720116386165,0.46321803071442047,200,0.5,3.073,4,4,0.3,1.2,4.206399699671763,714.3829748661142,1.042739854958604,1664.7046807976324,1.600818038586159,0.97
8323,0.9302993845343689,0.0005719296129380149,0.02391504992547611,0.01267970328877993,0.018812890022452393,0.0009165804131503468,0.07492277929487995,0.9999963815799224,0.9302993845343689,1,0,1.358,0.5,2469.3659745190425,1.436272747318355,2151.6884905027932,1.2747374978543995,200,0.5,3.073,4,4,0.3,1.2,3.7047866731615193,2162.2546455860293,0.9868146920517822,1985.6148823792362,1.2819116662012608,0.97
8326,0.8943599925238253,0.0004668695381670919,0.02160716404730366,0.011868443511976846,0.015954554239454515,0.0009539007974366145,0.11811799315627425,0.9999964661586814,0.8943599925238253,39,0,1.358,0.5,2230.5497408381093,1.7544091234340367,1775.3853070408245,1.2146945513978828,200,0.5,3.073,4,4,0.3,1.2,4.581703376511314,2945.8693542522255,1.9826174754778436,1563.0441151100595,0.9434203525452238,0.97
8327,0.7798900431284995,0.0005544833767153251,0.02354747070738862,0.01257523038816907,0.016220032892491413,0.000826680611730947,0.2822320387481005,0.9999967591953206,0.7798900431284995,41,0,1.358,0.5,2539.206720529013,1.9337058527859472,1884.007508049304,1.63337493443962,200,0.5,3.073,4,4,0.3,1.2,0.834850404629347,2460.118852113142,0.6749970565079919,2313.8304021632443,0.6671057366468376,0.97
8324,0.7936777897293151,0.0003058319323335769,0.01748805113023109,0.008470079409263415,0.012910596883667738,0.0005905772928937943,0.25995714248354035,0.9999977123075174,0.7936777897293151,39,0,1.358,0.5,2746.794071109002,1.733071619823551,643.4805972242916,1.2566187605392876,200,0.5,3.073,4,4,0.3,1.2,3.8996394252759865,2799.911849363594,1.1741016083494118,2734.952739100701,0.38445438247150554,0.97
8329,0.9399604760771882,0.00046285883822384355,0.02151415436924825,0.011008681266910675,0.012508061002283749,0.0008086940926995753,0.06387451967489041,0.9999971462538599,0.9399604760771882,39,0,1.358,0.5,2837.6913799876424,1.5456075422513962,2961.883083012442,0.1421791554155004,200,0.5,3.073,4,4,0.3,1.2,1.9286081013219873,1807.8945161738334,1.2476244933189702,664.2174167236726,0.875031094754288,0.97
8328,0.026109368498178274,0.07612332336428596,0.27590455480887943,0.02016046819208096,0.03723535004062869,0.009509643475959508,37.30042844850012,0.9993835648449163,0.026109368498178274,41,0,1.358,0.5,2994.9131140252553,1.719506985524794,2174.5388579600085,0.29354568212065185,200,0.5,3.073,4,4,0.3,1.2,3.1672121543621077,2422.5972531939224,1.6951865233721237,808.2482246267259,0.07233988343768613,0.97
8332,0.8958973101370032,0.0006875701497706697,0.026221558873771592,0.013772757327515685,0.019426715949115915,0.0009265877734061658,0.11619935531124317,0.9999969167110925,0.8958973101370032,41,0,1.358,0.5,2588.887550703473,1.6869317694639128,2320.558845549823,0.9381840547877744,200,0.5,3.073,4,4,0.3,1.2,2.849367147928072,769.147843985795,1.917406028993039,1640.2983998610355,1.117674621933796,0.97
8333,0.9013811024111633,0.0006712187663681175,0.02590789004083732,0.013562443905916636,0.019040549462515217,0.0009155036991566292,0.10940865891800315,0.9999970375202182,0.9013811024111633,39,0,1.358,0.5,2686.965975701991,1.3252957495945494,1008.1388235531522,0.7242281162641765,200,0.5,3.073,4,4,0.3,1.2,4.094914047889547,2649.649687490698,0.49942478489848474,713.1233008302186,0.8344581919107817,0.97
8335,0.8705229022535188,0.0002843878683008317,0.016863803494491736,0.008139654706395402,0.012487687640389954,0.0005702797151837628,0.148734855121335,0.9999977525939017,0.8705229022535188,1,0,1.358,0.5,2506.6938711820576,1.629901633978469,2386.8387376165497,1.230500302077022,200,0.5,3.073,4,4,0.3,1.2,4.022744857681161,1247.9579970462785,1.6421749132155268,2168.7023039505975,1.1579131670002833,0.97
8325,0.9213876312411031,0.0004793232578155069,0.02189345239599061,0.010622298064487706,0.014817526070731356,0.0007681072843060625,0.08531953989116023,0.9999978572583444,0.9213876312411031,40,0,1.358,0.5,1941.0614452642205,1.8326564928515978,1023.8839973393899,0.9632608265727928,200,0.5,3.073,4,4,0.3,1.2,3.1248324437438306,2596.395906711062,1.0617849298961062,821.5367130344218,0.7971507317794183,0.97
8334,0.8895393177206553,0.00020457562262067987,0.014302993484605937,0.0070832071915165745,0.01414418977510874,0.0005092293310527288,0.12417740293075268,0.9999977372566439,0.8895393177206553,39,0,1.358,0.5,2667.9681366600817,1.9179836823590957,1646.9329166034754,1.1638983951293147,200,0.5,3.073,4,4,0.3,1.2,0.7699912324069826,1598.5289174388372,1.9128832039404067,733.5558701629986,1.444174775089813,0.97
8339,0.9942396007071168,0.00011141872582799384,0.01055550689583375,0.0052545122109292335,0.006074151786873577,0.0006699717059412504,0.00579377374305568,0.9999988725158615,0.9942396007071168,39,0,1.358,0.5,2761.71316818023,1.8166352582394187,2451.29531963223,1.0531157508705347,200,0.5,3.073,4,4,0.3,1.2,4.910321991402302,2516.7839198646193,0.6092652613777695,961.0745406664366,1.2735713864877922,0.97
