Follower_ID,Run_Index,Tmax,Alpha,Beta,Wc,Gamma1,Gamma2,Wm,Error,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Total Difference,Duration,source,Gamma
12,11,3.178754111,0.171786472,3.9684668,100892.7285,1.991671557,1.58665183,3.04122565,14369.90999,144.2537482,12.01056819,9.883019252,1.612196324,0.048403972,209744.9499,0.742091424,14369.90999,145.3,I294l1,1.789161693
946,18,7.229276435,0.53639381,5.981546264,100819.2209,1.10164937,1.454021721,2.741621924,6425.844556,110.8504019,10.52855175,9.576519457,3.39354339,0.086062485,74380.61971,0.720749644,6425.844556,67,I294l1,1.277835546
209,31,3.341528685,0.494675621,7.887537821,106019.6031,0.46359672,2.080244963,4.593799802,78.36577958,0.86427062,0.929661562,0.699694461,0.587665128,0.048710458,96.79830947,0.929439209,78.36577958,11.1,I294l2,1.271920841
8,33,4.718280139,0.228822584,3.842018269,125593.13,1.703290856,1.662048999,6.393130824,717.2208726,9.40076314,3.066066395,2.71674573,1.050170629,0.052324202,2481.801469,0.88327822,717.2208726,26.3,I294l2,1.682669928
88,30,3.102493206,0.40418488,3.982876366,84130.61243,1.938747877,1.487559574,3.763637059,1355.801772,30.0937706,5.485778942,5.234755876,1.330886226,0.073738694,7794.286586,0.494147529,1355.801772,25.8,I294l2,1.713153725
17,33,3.414463396,0.326139694,3.768768816,87390.89124,1.910362485,1.589980889,3.639908766,1456.835021,26.04118524,5.103056461,5.023569038,1.058331834,0.048664819,7551.94372,0.919394463,1456.835021,28.9,I294l2,1.750171687
213,35,2.138187207,0.421714576,5.524651107,86242.72159,0.833448506,2.049704269,5.122718732,278.1776565,1.467490752,1.211400327,1.130803482,0.365233258,0.074411761,361.0027249,0.782238128,278.1776565,24.5,I294l2,1.441576387
180,36,4.055977043,0.496211707,6.062160257,93106.56549,1.552306164,1.866289774,3.828208941,379.2599618,12.05761901,3.472408244,3.034079694,1.388778967,0.061779185,1507.202377,0.885485016,379.2599618,12.4,I294l2,1.709297969
102,29,6.949734547,0.091191147,7.034746008,109385.5931,1.648613125,1.575013101,5.792702718,61.83681152,0.167491627,0.409257409,0.374768555,0.201991326,0.022445435,27.63611842,0.980668551,61.83681152,16.4,I294l2,1.611813113
283,38,2.829186866,0.129314869,5.863218271,102672.6838,1.268760643,2.516981857,6.01342701,226.5963814,2.099735866,1.449046537,1.08940568,0.256726306,0.022519292,436.7450602,0.977691353,226.5963814,20.7,I294l2,1.89287125
25,42,7.489246262,0.556804631,6.040849989,92899.84338,1.522996166,1.87721209,7.61432632,285.9740496,3.051835486,1.746950339,1.597620389,0.397302824,0.025526882,546.278552,0.977863242,285.9740496,17.8,I294l2,1.700104128
25,42,7.489246262,0.556804631,6.040849989,92899.84338,1.522996166,1.87721209,7.61432632,285.9740496,3.051835486,1.746950339,1.597620389,0.397302824,0.025526882,546.278552,0.977863242,285.9740496,17.8,I294l2,1.700104128
213,35,2.138187207,0.421714576,5.524651107,86242.72159,0.833448506,2.049704269,5.122718732,278.1776565,1.467490752,1.211400327,1.130803482,0.365233258,0.074411761,361.0027249,0.782238128,278.1776565,24.5,I294l2,1.441576387
204,31,7.305381802,0.304691851,4.194050981,104025.871,1.975127858,1.382998049,6.125214651,102.2027986,0.219592006,0.468606451,0.452224773,0.194429397,0.015454563,49.62779327,0.990845084,102.2027986,22.5,I294l2,1.679062954
2994,1,3.968399833,0.15206754,3.809419097,70805.31442,1.684133821,1.756861248,4.962758939,5668.145885,140.6599037,11.86001281,10.5160406,6.307955097,0.049572321,75815.68811,0.956952429,5668.145885,53.8,I395,1.720497535
3956,1,2.677176304,0.248433884,7.599504787,109513.7275,0.433487372,0.789851343,7.819698577,6123.633039,144.7427063,12.03090629,10.43208354,10.88567183,0.081356134,84963.96857,0.771841606,6123.633039,58.6,I395,0.611669358
3333,1,2.34306978,0.499246527,7.288380535,61592.78431,0.154642791,0.664040925,6.845713056,1299.746034,39.87972159,6.315039318,4.361563874,3.597671625,0.042759688,11884.15703,0.959858677,1299.746034,29.7,I395,0.409341858
3157,1,6.495208216,0.603009971,5.375388615,120835.3093,0.771084887,1.958135673,2.803734418,9.563413342,0.010666821,0.103280303,0.103950145,0.177417278,0.01026944,0.981347526,0.991062897,9.563413342,9.1,I395,1.36461028
7934,1,6.777909653,0.579040935,2.202936061,81144.58058,1.860820022,1.532707551,5.032435483,499.6873363,4.269867636,2.066365804,1.951903657,2.286594406,0.04697181,1093.086115,0.959736993,499.6873363,25.5,I395,1.696763786
6801,1,2.18260277,0.375022939,7.102246633,117129.1701,0.791592977,0.596041946,3.205694876,2840.725922,97.6739957,9.883015517,5.9679116,4.382851093,0.05072963,46492.82195,0.962011037,2840.725922,47.5,I395,0.693817462
5903,1,3.350535044,0.031082228,1.87698346,119783.058,1.805642174,1.94406963,2.901129416,1633.116194,26.56782926,5.154399021,4.994239126,3.845614283,0.067541713,8687.680169,0.908519171,1633.116194,32.6,I395,1.874855902
6395,1,4.174671806,0.340476079,7.980271361,89430.70706,1.218518739,1.285961434,5.202409545,1460.014686,37.86576709,6.153516645,5.195781801,7.025213317,0.051249231,10640.28055,0.965161134,1460.014686,28,I395,1.252240086
7028,1,7.192559807,0.40699338,6.693829997,113907.7991,1.228637538,1.740708497,2.169247816,1361.619498,14.42073323,3.797464053,3.429772035,2.445322251,0.155859919,5725.031093,0.056982724,1361.619498,39.6,I395,1.484673018
843,1,6.645770306,0.458526064,2.850015508,97245.2989,1.805218236,1.812287646,5.436121841,171.6366088,0.391967591,0.626073152,0.570221292,1.029289113,0.027365496,117.982245,0.984833924,171.6366088,30,I395,1.808752941
7251,1,7.940494328,0.433626149,6.821793724,117945.7431,1.857635386,1.906959334,7.001906356,866.9122105,4.224668855,2.055399926,1.68988735,1.31563779,0.020860265,2167.255123,0.974908862,866.9122105,51.2,I395,1.88229736
6711,1,6.201424945,0.121005601,4.088943526,118246.8264,1.588140851,1.46701261,4.438935844,113.0087993,0.185135765,0.430274058,0.387016436,0.734178614,0.020408407,54.05964346,0.986390885,113.0087993,29.1,I395,1.52757673
10398,1,7.398017737,0.149124773,5.953668719,123557.4941,1.61069934,1.837379125,5.807011511,142.074303,1.108810792,1.053000851,0.993526594,0.650788693,0.064347412,158.5599433,0.831055226,142.074303,14.2,I395,1.724039233
7802,1,5.015469794,0.611185231,4.490231918,109274.1901,2.006098588,1.978530573,2.550929331,2995.69618,92.8389169,9.635295372,8.583656677,4.932727297,0.056332352,32400.782,0.945086938,2995.69618,34.8,I395,1.99231458
3333,1,2.34306978,0.499246527,7.288380535,61592.78431,0.154642791,0.664040925,6.845713056,1299.746034,39.87972159,6.315039318,4.361563874,3.597671625,0.042759688,11884.15703,0.959858677,1299.746034,29.7,I395,0.409341858
8008,1,3.362998973,0.406934905,5.339410338,63116.15869,0.563711919,1.987129833,5.355994303,605.478616,22.22450839,4.714287687,4.11890215,2.722297029,0.035488535,3267.002734,0.982373222,605.478616,14.6,I395,1.275420876
4559,1,4.641196992,0.015478042,7.320295713,65592.82515,1.87363429,1.921681583,2.133018201,866.2353062,20.36266832,4.512501338,3.609313776,5.422857953,0.086014371,4887.040398,0.764588999,866.2353062,23.9,I395,1.897657936
532,1,3.860729081,0.008140585,7.918655308,88996.68493,0.395781153,0.825073874,2.5346279,211.5747263,30.01699281,5.47877658,5.567755954,4.717463526,0.15722637,1140.645727,0.593862094,211.5747263,3.7,I395,0.610427513
5937,1,7.922588435,0.244774067,2.256870803,116574.686,1.303882573,2.026340777,2.182219931,757.1397574,9.342820807,3.056602821,2.665985061,2.608026146,0.075753221,2653.361109,0.864426618,757.1397574,28.3,I395,1.665111675
3455,2,2.007774159,0.195935468,4.279937634,123736.5875,0.285671894,0.81250074,7.506744421,4871.235431,22.88393552,4.78371566,4.591173828,inf,0.076213548,24279.85558,0.810504846,4871.235431,106,I9094,0.549086317
2067,2,1.869005035,0.271314814,3.339180529,106337.3788,0.508351852,0.529703201,5.666493928,640.0612253,1.533024325,1.238153595,1.183107625,11.78784723,0.095887986,829.3661596,0.588339609,640.0612253,54,I9094,0.519027527
301,2,1.681480747,0.231632635,1.870123423,125539.7633,0.38185711,0.294398166,7.525668881,3187.585195,14.47293966,3.804331697,3.638795884,11.72224918,0.083539769,12678.29514,0.765771945,3187.585195,87.5,I9094,0.338127638
