id,best_fitness,MSE,RMSE,MAE,MAPE,NRMSE,SSE,R-squared,Error,Wc_pp,Wc_pb,Wc_pbar,Wc_bp,Wc_bb,Wc_bbar,eta_ped,xi_ped,tau_ped,v_pref_ped,eta_bike,xi_bike,tau_bike,v_pref_bike,type_most_common
13307,0.9970781389610585,0.002930423,0.054133385,0.026140797789955424,0.053689397,0.001781012,2.2505651164365377,0.999978877,0.9970781389610585,190.18778366059922,199.10279931635702,96.80996979086392,2147.4655568946373,1550.0862372767556,1010.1565878426669,1.714774534986005,1.2491280770107194,1.0414170478326512,1.358,2.7682716057441183,2.2728483953981398,0.4846903981425734,3.073,0
13306,0.9972933316360448,0.002714014,0.052096202,0.025672949,0.052236977,0.001666388,4.293570623552328,0.9999807353570979,0.9972933316360448,193.75576888624997,271.69894868553513,57.76971935708163,1897.283528289489,1995.9059677103064,1568.6843332528777,1.1738423329859509,1.1154180990606424,0.9415375828027639,1.358,5.357269675142924,4.330811685868034,0.866547657,3.073,0
13303,0.9978836026318829,0.002120886,0.046053078,0.023638885782117078,0.049169763,0.001517151,2.453865108569047,0.9999822299351642,0.9978836026318829,185.76057053514234,190.9416237903226,113.61022095192055,2233.0403083095316,1786.722592300349,913.7086129380968,1.9978270340292315,2.531326628948814,1.2559746932297353,1.358,4.830557228514834,4.020246647365244,0.7517380321456302,3.073,0
13313,0.9978761824543649,0.002128338,0.046133911,0.023794382834811695,0.049251015,0.001536347,2.2517813359921615,0.9999807824430197,0.9978761824543649,202.76359615699192,265.95017323070124,74.72470886014248,1667.9290396318406,1936.8858132660828,1254.2632929392262,1.7398766532337349,2.9962648954141278,0.3098080499999442,1.358,4.261289360779393,5.960105758749837,0.8009562609677043,3.073,0
13293,0.9979020852372404,0.002102325,0.045851120618397134,0.023606464102142812,0.050137857,0.001512199,2.407162424947409,0.9999819155599524,0.9979020852372404,185.80132807340556,304.4503407022205,43.087626207173244,1734.9430747365554,1718.2127169981595,944.3633306,4.854694108,2.6176892479709744,1.1121790208908144,1.358,3.937887093318658,3.463562289229421,0.7637386853215554,3.073,0
13316,0.9978991765040249,0.002105246,0.045882962,0.023680314616514597,0.049862742,0.001524782,2.2841921777292997,0.99998125,0.9978991765040249,195.65986418124328,267.1860025,62.17715517377907,1559.8120996141458,1834.7784793098383,1019.1916701042873,3.3571675033872834,1.7028460011394242,0.6631857577629723,1.358,4.757098573762376,2.031790707857267,0.915327961,3.073,0
13321,0.9976332850804079,0.00237233,0.048706566,0.026149685394873383,0.052694111,0.001692307,1.5752268194243515,0.9999750313131657,0.9976332850804079,196.3274104,288.7439592287824,25.896335470937018,1566.9898897372668,1771.6094651425406,941.5592034199601,3.7683220529720938,4.000352466052648,1.0101115126425135,1.358,2.1921945487803463,4.554191729539897,0.9270637266833623,3.073,0
13324,0.997842549,0.002162116,0.04649856,0.023853148098283112,0.051520286613638874,0.001670191,1.6107764529175228,0.9999819118679375,0.997842549,200.20189924426154,250.2912765,61.45947628,2120.2508617751605,1669.622472,1247.4676739549127,1.7367519537092542,3.1657982092312524,1.2634832156211435,1.358,2.9665576653960106,5.328557935519707,0.34735083418142515,3.073,0
13328,0.9981327657441857,0.001870727,0.043251906,0.022057423493814107,0.049741980073292474,0.001617414,1.105599859116385,0.999983747,0.9981327657441857,204.7785360660697,304.6659210844104,60.256204867438676,1689.6134382089103,2082.7836862742347,1161.0741531951476,1.8281563042604323,1.1494231184696853,1.3159056374211349,1.358,5.434973357216757,5.036705756291402,0.3318710061974532,3.073,0
13338,0.9951492736456939,0.004874371,0.069816693,0.032493671,0.0593965,0.002224756,2.378692849,0.999972414,0.9951492736456939,205.0543699362594,191.51306920058923,25.06908009586903,1963.8799658666815,1756.242157,1455.7726586436092,4.810915620329161,4.908593669441785,0.8786645244021778,1.358,2.126018908237791,4.443188786205884,0.8307754485859884,3.073,0
13344,0.9923030219110346,0.007756681,0.088072022,0.038895551,0.066443247,0.002806474,4.250661239174569,0.9999574984086147,0.9923030219110346,183.90508209940228,304.8663296476071,105.02131891537553,1944.2111243149786,1916.403708461978,1487.2433113751863,1.5026851938076198,3.1032594927205066,0.4730573302875404,1.358,2.095097532497298,2.162802945457883,0.9246549974764062,3.073,0
13340,0.9916300764513145,0.00844057,0.091872577,0.039462575,0.068973163,0.002931286,5.072782857456013,0.9999553923016712,0.9916300764513145,175.66370968047056,201.1239067819323,62.207508529243725,1525.3395428379645,1810.089858,1042.0191011025727,3.0116340407305793,2.0282816829894084,0.7749729600752434,1.358,3.3791147910805996,3.0179786935708273,0.33473844046448653,3.073,0
13353,0.9909817929391479,0.009100275,0.095395363,0.042008825182768134,0.07204949,0.003043684,3.8039150449534525,0.9999511904283443,0.9909817929391479,202.38794148891876,209.9823324544129,42.94050359312689,2059.336944758108,2128.216709,1298.3687451527396,1.9251236862969838,1.4230471370060749,1.0919973008147947,1.358,4.222101556603976,4.431541810465431,0.48680052973107346,3.073,0
13349,0.37599130879680154,1.659635945309667,1.288268584305954,0.063348471,0.1185980173710196,0.041147833,1014.0375625842065,0.9915558278049492,0.37599130879680154,199.23251731113135,295.04483977981846,113.40345945819679,2020.4809749536698,1969.3340594519148,1395.2252666917102,2.7745165608347304,2.6783550564372547,0.6989773607467415,1.358,2.9067493671237656,5.538124654811096,0.6329857184317056,3.073,0
13357,0.9884891841629401,0.011644857648905322,0.10791134161386987,0.042476858,0.079589326,0.003582211,6.148484839,0.9999365741456565,0.9884891841629401,200.82977602494663,306.8440400416789,111.18394512513929,1757.7265619940213,2191.993756896817,1458.1242884082853,3.8486741584090858,1.624513021331794,1.4222800131687239,1.358,3.9043962575147453,5.808140533300497,0.36250595202949365,3.073,0
13356,0.9904676481268364,0.009624092,0.098102457,0.037751203347359805,0.074309261,0.003379367,3.5416658948511333,0.9999411000390421,0.9904676481268364,187.63740011384806,220.33982233006316,100.68606973507413,1797.1885921270891,1937.7409099162285,1616.1705279930181,2.437054433069601,1.1784068993652994,0.4156657417933924,1.358,5.104334563889772,4.604426251,0.9636000082793412,3.073,0
